,n,pyspark,local
0,1,2.6562788486480713,1.4066696166992188e-05
1,10001,0.09470701217651367,0.014546871185302734
2,20001,0.07610702514648438,0.035095930099487305
3,30001,0.10491800308227539,0.046330928802490234
4,40001,0.09649109840393066,0.054701805114746094
5,50001,0.10727906227111816,0.08183002471923828
6,60001,0.11179280281066895,0.0772557258605957
7,70001,0.13484501838684082,0.0890350341796875
8,80001,0.1344921588897705,0.09699296951293945
9,90001,0.13562512397766113,0.11529707908630371
10,100001,0.14454913139343262,0.19485712051391602
11,110001,0.21933484077453613,0.1793992519378662
12,120001,0.18434691429138184,0.15988421440124512
13,130001,0.1652827262878418,0.17456316947937012
14,140001,0.2585489749908447,0.19417500495910645
15,150001,0.19405484199523926,0.20692706108093262
16,160001,0.22663283348083496,0.22660374641418457
17,170001,0.21653294563293457,0.2408430576324463
18,180001,0.22292494773864746,0.2594492435455322
19,190001,0.24715089797973633,0.2793850898742676
20,200001,0.25168895721435547,0.29589104652404785
21,210001,0.26386308670043945,0.3176388740539551
22,220001,0.27533411979675293,0.3373570442199707
23,230001,0.32379698753356934,0.3573112487792969
24,240001,0.4139888286590576,0.39647984504699707
25,250001,0.3583412170410156,0.40793490409851074
26,260001,0.33656883239746094,0.4185619354248047
27,270001,0.3353919982910156,0.441514253616333
28,280001,0.34407925605773926,0.465440034866333
29,290001,0.40347814559936523,0.4857337474822998
30,300001,0.36794090270996094,0.5060651302337646
31,310001,0.3945467472076416,0.5301377773284912
32,320001,0.40073323249816895,0.5517213344573975
33,330001,0.4215068817138672,0.5776598453521729
34,340001,0.4305860996246338,0.5987999439239502
35,350001,0.4515047073364258,0.6247408390045166
36,360001,0.47534728050231934,0.6459689140319824
37,370001,0.4850020408630371,0.6721701622009277
38,380001,0.5033049583435059,0.6976776123046875
39,390001,0.5202770233154297,0.7238640785217285
40,400001,0.5182719230651855,0.7456250190734863
41,410001,0.5401580333709717,0.7754700183868408
42,420001,0.5757930278778076,0.7968430519104004
43,430001,0.5764420032501221,0.8273141384124756
44,440001,0.5871889591217041,0.854748010635376
45,450001,0.6078047752380371,0.877655029296875
46,460001,0.6253290176391602,0.9032938480377197
47,470001,0.6615009307861328,0.92995285987854
48,480001,0.6542000770568848,0.954509973526001
49,490001,0.7158150672912598,0.9862761497497559
